"Group","Method","Route","Policy","Audited","AuditAction","Redaction","Status","Line"
"reports","GET","/api/v1/reports/audit-events/export/csv","AuthorizationPolicies.IncidentViewer","Yes","REPORTING / AUDIT_EVIDENCE_EXPORT_CSV","Yes","In Progress","4895"
"reports","GET","/api/v1/reports/external-provider-health/governance/export/csv","AuthorizationPolicies.IncidentViewer","Yes","REPORTING / EXTERNAL_PROVIDER_GOVERNANCE_EXPORT_CSV","TBD","In Progress","4974"
"reports","GET","/api/v1/reports/external-provider-health/scorecards/export/csv","AuthorizationPolicies.LookupAdmin","Yes","REPORTING / EXTERNAL_PROVIDER_SCORECARD_EXPORT_CSV","TBD","In Progress","5047"
"reports","GET","/api/v1/reports/external-provider-health/scorecards/export/json","AuthorizationPolicies.LookupAdmin","Yes","REPORTING / EXTERNAL_PROVIDER_SCORECARD_EXPORT_JSON","TBD","In Progress","5110"
"reports","GET","/api/v1/reports/external-provider-health/executive-packet/export/zip","AuthorizationPolicies.LookupAdmin","Yes","REPORTING / EXTERNAL_PROVIDER_EXECUTIVE_PACKET_EXPORT_ZIP","TBD","In Progress","5173"
"admin","GET","/api/v1/admin/streaming/status","AuthorizationPolicies.LookupAdmin","Yes","DATA_CHANGE / STREAMING_INGESTION_START","TBD","In Progress","5270"
"admin","POST","/api/v1/admin/streaming/start","AuthorizationPolicies.LookupAdmin","Yes","DATA_CHANGE / STREAMING_INGESTION_START","TBD","In Progress","5277"
"admin","POST","/api/v1/admin/streaming/stop","AuthorizationPolicies.LookupAdmin","Yes","DATA_CHANGE / STREAMING_INGESTION_STOP","TBD","In Progress","5308"
"admin","GET","/api/v1/admin/external-provider/executive-packet/automation/status","AuthorizationPolicies.LookupAdmin","Yes","REPORTING / EXTERNAL_PROVIDER_EXECUTIVE_PACKET_AUTOMATION_RUN_MANUAL","TBD","In Progress","5332"
"admin","POST","/api/v1/admin/external-provider/executive-packet/automation/run","AuthorizationPolicies.DataOpsAdmin","Yes","REPORTING / EXTERNAL_PROVIDER_EXECUTIVE_PACKET_AUTOMATION_RUN_MANUAL","TBD","In Progress","5341"
"admin","POST","/api/v1/admin/streaming/upload","AuthorizationPolicies.DataOpsAdmin","Yes","DATA_CHANGE / STREAMING_INGESTION_UPLOAD","TBD","In Progress","5384"
"admin","POST","/api/v1/admin/data/synthetic/reset","AuthorizationPolicies.DataOpsAdmin","Yes","DATA_CHANGE / SYNTHETIC_DATA_RESET","TBD","In Progress","5449"
"admin","POST","/api/v1/admin/data/synthetic/seed","AuthorizationPolicies.DataOpsAdmin","Yes","DATA_CHANGE / SYNTHETIC_DATA_SEED","TBD","In Progress","5603"
"admin","GET","/api/v1/admin/data/synthetic/preview","AuthorizationPolicies.DataOpsAdmin","Yes","DATA_CHANGE / USER_CREATE","TBD","In Progress","5756"
"admin","GET","/api/v1/admin/users","AuthorizationPolicies.LookupAdmin","Yes","DATA_CHANGE / USER_CREATE","TBD","In Progress","5840"
"admin","POST","/api/v1/admin/users","AuthorizationPolicies.LookupAdmin","Yes","DATA_CHANGE / USER_CREATE","TBD","In Progress","5855"
"admin","POST","/api/v1/admin/users/{userId:long}/active","AuthorizationPolicies.LookupAdmin","Yes","DATA_CHANGE / sec","TBD","In Progress","5937"
"admin","GET","/api/v1/admin/locations","AuthorizationPolicies.LookupAdmin","Yes","DATA_CHANGE / org","TBD","In Progress","5977"
"admin","POST","/api/v1/admin/locations/{locationId:long}/active","AuthorizationPolicies.LookupAdmin","Yes","DATA_CHANGE / org","TBD","In Progress","5992"
"admin","POST","/api/v1/admin/locations/{locationId:long}/geo","AuthorizationPolicies.LookupAdmin","Yes","DATA_CHANGE / LOCATION_GEO_UPDATE","TBD","In Progress","6032"
"admin","POST","/api/v1/admin/locations/{locationId:long}/geocode","AuthorizationPolicies.LookupAdmin","Yes","DATA_CHANGE / ICS_POSITION_CREATE","TBD","In Progress","6090"
"admin","GET","/api/v1/admin/ics-positions","AuthorizationPolicies.LookupAdmin","Yes","DATA_CHANGE / ICS_POSITION_CREATE","TBD","In Progress","6173"
"admin","POST","/api/v1/admin/ics-positions","AuthorizationPolicies.LookupAdmin","Yes","DATA_CHANGE / ICS_POSITION_CREATE","TBD","In Progress","6188"
"admin","POST","/api/v1/admin/ics-positions/{icsPositionId:int}","AuthorizationPolicies.LookupAdmin","Yes","DATA_CHANGE / ICS_POSITION_UPDATE","TBD","In Progress","6258"
